player_name,year,k_percent,bb_percent,first_inning_era,first_inning_whip
Michael Soroka,2025,26.3,6.2,2.25,0.67
Lucas Giolito,2025,20.7,7.3,6.75,1.58
Jesús Luzardo,2025,27.2,7.8,5.29,1.35
Andrew Abbott,2025,23.8,6.9,0.00,0.64
Colin Rea,2025,16.9,5.7,6.23,1.77
Miles Mikolas,2025,16.1,5.7,5.06,1.75
Justin Hagenman,2025,21.7,0.0,0.00,0.00
Marcus Stroman,2025,12.1,13.6,14.73,3.00
Bryan Woo,2025,24.0,4.3,5.06,1.50
Bailey Falter,2025,14.7,9.1,4.76,1.71
Chris Paddack,2025,16.6,6.3,5.82,1.59
Zack Littell,2025,17.1,3.1,2.65,0.88
Randy Vásquez,2025,13.1,10.7,3.18,1.35
Kumar Rocker,2025,20.4,6.6,9.00,1.78
Eric Lauer,2025,24.9,7.7,1.50,1.00
Kyle Hendricks,2025,16.2,6.2,4.50,1.31
Slade Cecconi,2025,23.5,7.8,2.25,1.00
Reese Olson,2025,25.4,9.5,2.00,1.11
Sandy Alcantara,2025,17.5,9.4,5.63,1.38
Quinn Priester,2025,18.8,8.6,3.97,1.32
Spencer Strider,2025,28.2,9.9,4.00,1.33
Charlie Morton,2025,23.3,10.3,5.11,1.70
Antonio Senzatela,2025,10.7,7.9,10.13,2.31
Adrian Houser,2025,18.1,8.2,1.29,1.29
Ben Casparius,2025,23.2,5.2,0.00,0.00
Lance Mccullers Jr.,2025,25.3,12.7,11.05,2.32
Eduardo Rodriguez,2025,24.4,8.2,5.14,1.43
